Year,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita
2000,5.43,2697.28,753.89,350.93,29.05815,93999.86,6.73,4.027357,4.127484017,36334.90878
2001,4.68,2678.68,768.83,280.06,28.138706,90772.18,6.54,3.421371,0.998340792,37133.24281
2002,4.84,2727.83,780.06,336.34,29.040926,91201.06,6.5,4.0155067,1.741695251,38023.16111
2003,5.33,2756.03,763.73,349.18,28.765244,90619.11,6.33,4.1800404,2.861210768,39496.48588
2004,5.48,2818.28,788.53,345.14,28.686348,91504.484,6.22,4.1015115,3.798891125,41712.80107
2005,5.84,2899.96,781.99,353.04,28.129686,90654.53,6.04,4.219231,3.513213799,44114.74778
2006,6.4,2878.56,787.22,381.16,28.870703,89067.04,5.82,4.6788607,2.854972294,46298.73144
2007,6.3,2988.24,806.42,347.91,27.865068,89395.14,5.81,4.3730087,1.876171454,47975.9677
2008,6.85,2924.21,806.21,377.11,28.808554,86378.65,5.67,5.0045505,-0.136579803,48382.55845
2009,7.35,2725.41,798.85,415.56,30.823996,81376.18,5.53,5.8000064,-2.536757067,47099.98047
2010,7.44,2882.49,806.97,424.48,29.93359,83397.48,5.52,5.8405547,2.56376656,48466.6576
2011,8.36,2788.93,790.2,509.74,31.792154,81962.36,5.36,6.8973193,1.550835505,49882.55813
2012,8.73,2779.02,769.33,492.32,31.223783,79102.34,5.15,6.886334,2.249545852,51602.93105
2013,9.08,2746.21,789.02,520.38,32.28614,80556.516,5.15,7.1346164,1.842081071,53106.53677
2014,9.22,2752.01,797.17,546.83,32.81242,80725.086,5.08,7.262891,2.525973446,55049.98833
2015,9.03,2730.32,797.18,556.49,33.14577,79317.37,4.88,7.468743,3.07551465,56863.3715
2016,9.46,2656.96,805.69,624.91,34.998875,78613.54,4.74,8.285086,1.711426774,58021.4005
2017,9.92,2540.17,804.95,707.19,37.315506,78289.01,4.62,9.082049,2.332679395,60109.65573
2018,10.12,2661.3,807.08,733.17,36.659092,80583.34,4.61,8.964939,2.996464352,63064.41841
2019,10.42,2588.21,809.41,760.76,37.75918,79489.016,4.51,9.315263,2.161176515,65279.52903
2020,10.81,2431.9,789.88,821.4,39.8518,73236.14,4.91,10.532232,-3.404591573,63593.44362
